node_idx,node_id,in_katz,out_katz,系统匹配企业名称,统一社会信用代码,node_origin,credit_code,norm_name,注册资本,所属省份,所属城市,国标行业大类,企业机构类型大类,match_source
391,corp:91210200716904902K,0.009793010303825499,0.0053791669442740326,大连华锐重工集团股份有限公司,91210200716904902K,node,91210200716904902K,大连华锐重工集团股份有限公司,193137.0032万人民币,辽宁省,大连市,专用设备制造业,其他企业,node_primary+registry_code
2108,corp:912308007213613403,0.009790348977567866,0.00542443655596389,佳木斯电机股份有限公司,912308007213613403,node,912308007213613403,佳木斯电机股份有限公司,121939.81万人民币,黑龙江省,佳木斯市,计算机、通信和其他电子设备制造业,其他企业,node_primary+registry_code
360,corp:91210200241283929E,0.009773114126137874,0.005402255063649376,中车大连机车车辆有限公司,91210200241283929E,node,91210200241283929E,中车大连机车车辆有限公司,438887万人民币,辽宁省,大连市,铁路、船舶、航空航天和其他运输设备制造业,民营企业,node_primary+registry_code
1835,corp:91230199128025389R,0.009763172539517235,0.005747085119376127,哈尔滨锅炉厂有限责任公司,91230199128025389R,node,91230199128025389R,哈尔滨锅炉厂有限责任公司,120030.123647万人民币,黑龙江省,哈尔滨市,专用设备制造业,民营企业,node_primary+registry_code
1834,corp:912301991280249252,0.009749979543573796,0.005705838951475192,哈尔滨汽轮机厂有限责任公司,912301991280249252,node,912301991280249252,哈尔滨汽轮机厂有限责任公司,318435.8125万人民币,黑龙江省,哈尔滨市,通用设备制造业,民营企业,node_primary+registry_code
1831,corp:912301991270479655,0.009749365416558747,0.005699390578235706,哈尔滨电机厂有限责任公司,912301991270479655,node,912301991270479655,哈尔滨电机厂有限责任公司,119208.119944万人民币,黑龙江省,哈尔滨市,计算机、通信和其他电子设备制造业,民营企业,node_primary+registry_code
1837,corp:912301991280664631,0.009744706934909936,0.005195237716021733,哈尔滨国铁科技集团股份有限公司,912301991280664631,node,912301991280664631,哈尔滨国铁科技集团股份有限公司,48000万人民币,黑龙江省,哈尔滨市,铁路、船舶、航空航天和其他运输设备制造业,其他企业,node_primary+registry_code
108,corp:912101021176814954,0.009695062212221781,0.005169845523737722,沈阳铝镁设计研究院有限公司,912101021176814954,node,912101021176814954,沈阳铝镁设计研究院有限公司,84807.1201万人民币,辽宁省,沈阳市,科技推广和应用服务业,民营企业,node_primary+registry_code
8,corp:912100002426694799,0.009683529183488575,0.005612103105238193,鞍钢股份有限公司,912100002426694799,node,912100002426694799,鞍钢股份有限公司,936922.1258万人民币,辽宁省,鞍山市,黑色金属冶炼和压延加工业,外资及港澳台企业,node_primary+registry_code
1343,corp:912201011239949224,0.009607551525829119,0.00519346529058927,中国电建集团长春发电设备有限公司,912201011239949224,node,912201011239949224,中国电建集团长春发电设备有限公司,30000万人民币,吉林省,长春市,其他制造业,民营企业,node_primary+registry_code
191,corp:912101067931971483,0.009329208332245143,0.005283882904596887,北方重工集团有限公司,912101067931971483,node,912101067931971483,北方重工集团有限公司,357142.857143万人民币,辽宁省,沈阳市,黑色金属冶炼和压延加工业,其他企业,node_primary+registry_code
180,corp:91210106755504303X,0.009204965976438127,0.005283408886969974,特变电工沈阳变压器集团有限公司,91210106755504303X,node,91210106755504303X,特变电工沈阳变压器集团有限公司,117832万人民币,辽宁省,沈阳市,计算机、通信和其他电子设备制造业,其他企业,node_primary+registry_code
1317,corp:91220000735902224D,0.008995369691762758,0.005147497336582716,中车长春轨道客车股份有限公司,91220000735902224D,node,91220000735902224D,中车长春轨道客车股份有限公司,631705.2738万人民币,吉林省,长春市,铁路、船舶、航空航天和其他运输设备制造业,国有企业,node_primary+registry_code
9,corp:91210000242690243E,0.008811743053208768,0.005591775095183868,本钢板材股份有限公司,91210000242690243E,node,91210000242690243E,本钢板材股份有限公司,387537.1532万人民币,辽宁省,本溪市,黑色金属冶炼和压延加工业,国有企业,node_primary+registry_code
142,corp:91210106243381258Q,0.008790227467830172,0.005215816074065014,通用技术集团沈阳机床有限责任公司,91210106243381258Q,node,91210106243381258Q,通用技术集团沈阳机床有限责任公司,276293.1116万人民币,辽宁省,沈阳市,专用设备制造业,国有企业,node_primary+registry_code
1098,corp:91211100279309506B,0.008713238215018081,0.005306465094124694,北方华锦化学工业股份有限公司,91211100279309506B,node,91211100279309506B,北方华锦化学工业股份有限公司,159944.2537万人民币,辽宁省,盘锦市,石油、煤炭及其他燃料加工业,国有企业,node_primary+registry_code
1958,corp:91230600129316372W,0.008701099687523646,0.005147205981712946,大庆油田建设集团有限责任公司,91230600129316372W,node,91230600129316372W,大庆油田建设集团有限责任公司,180800万人民币,黑龙江省,大庆市,开采专业及辅助性活动,民营企业,node_primary+registry_code
144,corp:912101062434900759,0.008675952047921017,0.005327420767805635,沈阳化工股份有限公司,912101062434900759,node,912101062434900759,沈阳化工股份有限公司,81951.4395万人民币,辽宁省,沈阳市,化学原料和化学制品制造业,其他企业,node_primary+registry_code
1209,corp:9121130012320998XE,0.008651876812551555,0.005242391121460768,凌源钢铁股份有限公司,9121130012320998XE,node,9121130012320998XE,凌源钢铁股份有限公司,285216.5135万人民币,辽宁省,朝阳市,黑色金属冶炼和压延加工业,国有企业,node_primary+registry_code
